,tgus,offset,detected
205,-0.9,1.0,-1.0
206,-0.9,1.0,-1.0
207,-0.9,1.0,-1.0
208,-0.9,1.0,-1.0
209,-0.7,1.0,-1.0
210,-0.7,1.0,-1.0
211,1.1,1.0,-1.0
212,1.1,1.0,-1.0
213,1.1,1.0,-1.0
214,1.1,1.0,-1.0
215,1.1,1.0,-1.0
216,1.1,1.0,-1.0
217,1.1,1.0,-1.0
218,1.1,1.0,-1.0
219,3.6,1.0,-1.0
220,3.6,1.0,-1.0
221,3.6,1.0,-1.0
222,3.6,1.0,-1.0
223,3.2,1.0,-1.0
224,3.2,1.0,-1.0
225,3.2,1.0,-1.0
226,3.2,1.0,-1.0
227,0.8,1.0,-1.0
228,0.8,1.0,-1.0
229,0.8,1.0,-1.0
230,3.3,1.0,-1.0
231,3.3,1.0,-1.0
232,3.3,1.0,-1.0
233,3.3,1.0,-1.0
234,0.7,1.0,-1.0
235,0.7,1.0,-1.0
236,0.7,1.0,-1.0
237,0.7,1.0,-1.0
238,0.7,1.0,-1.0
239,0.7,1.0,-1.0
240,0.7,1.0,-1.0
241,0.7,1.0,-1.0
242,0.5,1.0,-1.0
243,0.5,1.0,-1.0
244,0.5,1.0,-1.0
245,0.5,1.0,-1.0
246,0.5,1.0,-1.0
247,0.5,1.0,-1.0
248,0.5,1.0,-1.0
249,0.5,1.0,-1.0
250,-0.7,1.0,-1.0
251,-0.7,1.0,-1.0
252,-0.7,1.0,-1.0
253,-0.7,1.0,-1.0
254,-0.7,1.0,-1.0
255,-0.7,1.0,-1.0
256,-0.7,1.0,-1.0
257,-0.7,1.0,-1.0
258,-0.7,1.0,-1.0
259,-0.7,1.0,-1.0
260,-0.7,1.0,-1.0
261,-0.7,1.0,-1.0
262,-0.7,1.0,-1.0
263,-0.7,1.0,-1.0
264,-0.7,1.0,-1.0
265,-0.7,1.0,-1.0
266,-0.7,1.0,-1.0
267,-0.6,1.0,-1.0
268,-0.6,1.0,-1.0
269,-0.6,1.0,-1.0
270,-0.6,1.0,-1.0
271,-0.7,1.0,-1.0
272,-0.7,1.0,-1.0
273,-0.7,1.0,-1.0
274,-0.7,1.0,-1.0
275,12.9,1.0,1.0
276,17.6,1.0,1.0
277,14.8,1.0,1.0
278,19.6,1.0,1.0
279,19.6,1.0,1.0
280,12.9,1.0,1.0
281,17.6,1.0,1.0
282,17.6,1.0,1.0
283,26.2,1.0,-1.0
284,26.2,1.0,-1.0
285,28.6,1.0,1.0
286,28.6,1.0,-1.0
287,26.2,1.0,-1.0
288,26.2,1.0,-1.0
289,28.6,1.0,-1.0
290,28.6,1.0,-1.0
291,27.4,1.0,1.0
292,26.6,1.0,-1.0
293,26.6,1.0,-1.0
294,29.0,1.0,-1.0
295,29.0,1.0,1.0
296,25.8,1.0,-1.0
297,25.8,1.0,-1.0
298,28.2,1.0,-1.0
299,28.2,1.0,-1.0
300,20.7,1.0,-1.0
301,20.7,1.0,-1.0
302,23.1,1.0,1.0
303,25.9,1.0,-1.0
304,25.9,1.0,-1.0
305,28.4,1.0,1.0
306,28.4,1.0,1.0
307,23.9,1.0,1.0
308,23.9,1.0,1.0
309,18.5,1.0,1.0
310,20.9,1.0,1.0
311,20.0,1.0,1.0
312,22.5,1.0,1.0
313,22.5,1.0,1.0
314,18.5,1.0,1.0
315,20.9,1.0,1.0
316,20.9,1.0,1.0
317,24.8,1.0,1.0
318,28.8,1.0,1.0
319,28.8,1.0,1.0
320,5.3,1.0,-1.0
321,5.3,1.0,-1.0
322,-2.3,1.0,-1.0
323,-2.3,1.0,-1.0
