,drainage_class,gus,tgus,detlimit,offset,detected
125,1,2.65,9.7,0.01,1.0,-1.0
126,1,2.65,9.7,0.01,1.0,-1.0
127,1,2.65,9.7,0.01,1.0,-1.0
128,1,2.65,9.7,0.01,1.0,-1.0
129,3,2.65,9.7,0.01,1.0,-1.0
130,3,2.65,9.7,0.01,1.0,-1.0
131,3,2.65,9.7,0.01,1.0,-1.0
132,3,2.65,9.7,0.01,1.0,-1.0
133,4,2.65,8.7,0.01,1.0,1.0
134,1,1.0,-0.6,0.1,1.0,-1.0
135,1,1.0,-0.6,0.1,1.0,-1.0
136,1,1.0,-0.6,0.1,1.0,-1.0
137,1,1.0,-0.6,0.1,1.0,-1.0
138,1,1.0,-0.6,0.1,1.0,-1.0
139,1,1.0,-0.6,0.1,1.0,-1.0
140,1,1.0,-0.6,0.1,1.0,-1.0
141,1,1.0,-0.6,0.1,1.0,-1.0
142,1,1.31,-0.1,0.05,1.0,-1.0
143,1,1.31,-0.1,0.05,1.0,-1.0
144,1,1.31,-0.5,0.25,1.0,-1.0
145,1,1.31,-0.5,0.25,1.0,-1.0
146,1,1.31,-0.2,0.05,1.0,-1.0
147,1,1.31,-0.2,0.05,1.0,-1.0
148,1,1.31,-0.5,0.25,1.0,-1.0
149,1,1.31,-0.5,0.25,1.0,-1.0
150,2,1.31,-0.5,0.05,1.0,-1.0
151,2,1.31,-0.5,0.05,1.0,-1.0
152,2,1.31,-0.9,0.25,1.0,-1.0
153,2,1.31,-0.2,0.05,1.0,-1.0
154,2,1.31,-0.2,0.05,1.0,-1.0
155,2,1.31,-0.5,0.25,1.0,-1.0
156,2,1.31,-0.5,0.25,1.0,-1.0
157,1,1.31,-0.2,0.05,1.0,-1.0
158,1,1.31,-0.2,0.05,1.0,-1.0
159,1,1.31,-0.6,0.25,1.0,-1.0
160,1,1.31,-0.6,0.25,1.0,-1.0
161,3,1.31,-0.2,0.05,1.0,-1.0
162,3,1.31,-0.2,0.05,1.0,-1.0
163,3,1.31,-0.6,0.25,1.0,-1.0
164,3,1.31,-0.6,0.25,1.0,-1.0
165,4,1.31,-0.4,0.05,1.0,-1.0
166,4,1.31,-0.4,0.05,1.0,-1.0
167,4,1.31,-0.8,0.25,1.0,-1.0
168,4,1.31,-0.8,0.25,1.0,-1.0
169,4,1.31,-0.4,0.05,1.0,-1.0
170,4,1.31,-0.4,0.05,1.0,-1.0
171,4,1.31,-0.8,0.25,1.0,-1.0
172,4,1.31,-0.8,0.25,1.0,-1.0
173,1,1.31,-0.1,0.05,1.0,-1.0
174,1,1.31,-0.1,0.05,1.0,-1.0
175,1,1.31,-0.5,0.25,1.0,-1.0
176,1,1.31,-0.5,0.25,1.0,-1.0
177,1,0.21,-0.7,1.0,1.0,-1.0
178,1,0.21,-0.7,1.0,1.0,-1.0
179,1,0.21,-0.7,1.0,1.0,-1.0
180,1,0.21,-0.7,1.0,1.0,-1.0
181,2,0.21,-0.8,1.0,1.0,-1.0
182,2,0.21,-0.8,1.0,1.0,-1.0
183,2,0.21,-0.8,1.0,1.0,-1.0
184,1,0.21,-0.7,1.0,1.0,-1.0
185,1,0.21,-0.7,1.0,1.0,-1.0
186,1,0.21,-0.8,1.0,1.0,-1.0
187,1,0.21,-0.8,1.0,1.0,-1.0
188,1,0.21,-0.7,1.0,1.0,-1.0
189,1,0.21,-0.7,1.0,1.0,-1.0
190,1,0.21,-0.7,1.0,1.0,-1.0
191,1,0.21,-0.7,1.0,1.0,-1.0
192,2,0.21,-1.0,1.0,1.0,-1.0
193,2,0.21,-1.0,1.0,1.0,-1.0
194,2,0.21,-0.7,1.0,1.0,-1.0
195,2,0.21,-0.7,1.0,1.0,-1.0
196,5,0.21,-1.1,1.0,1.0,-1.0
197,5,0.21,-1.0,1.0,1.0,-1.0
198,5,0.21,-1.0,1.0,1.0,-1.0
199,5,0.21,-1.1,1.0,1.0,-1.0
200,5,0.21,-1.1,1.0,1.0,-1.0
201,1,0.21,-0.8,1.0,1.0,-1.0
202,1,0.21,-0.8,1.0,1.0,-1.0
203,3,0.21,-0.8,1.0,1.0,-1.0
204,3,0.21,-0.8,1.0,1.0,-1.0
205,4,0.21,-0.9,1.0,1.0,-1.0
206,4,0.21,-0.9,1.0,1.0,-1.0
207,4,0.21,-0.9,1.0,1.0,-1.0
208,4,0.21,-0.9,1.0,1.0,-1.0
209,1,0.21,-0.7,1.0,1.0,-1.0
210,1,0.21,-0.7,1.0,1.0,-1.0
211,1,2.8,1.1,0.025,1.0,-1.0
