,tgus,Sand %,Silt %,Clay %,offset,detected
116,9.7,45.3,42.7,12.0,1.0,-1.0
117,9.7,45.3,42.7,12.0,1.0,-1.0
118,9.7,24.0,54.0,22.0,1.0,-1.0
119,9.7,24.0,54.0,22.0,1.0,-1.0
120,9.7,24.0,54.0,22.0,1.0,-1.0
121,9.7,24.0,54.0,22.0,1.0,-1.0
122,8.7,11.2,66.8,22.0,1.0,1.0
123,-0.6,67.7,22.3,10.0,1.0,-1.0
124,-0.6,67.7,22.3,10.0,1.0,-1.0
125,-0.6,67.7,22.3,10.0,1.0,-1.0
126,-0.6,67.7,22.3,10.0,1.0,-1.0
127,-0.6,67.7,22.3,10.0,1.0,-1.0
128,-0.6,67.7,22.3,10.0,1.0,-1.0
129,-0.6,67.7,22.3,10.0,1.0,-1.0
130,-0.6,67.7,22.3,10.0,1.0,-1.0
131,-0.1,37.9,35.0,27.1,1.0,-1.0
132,-0.1,37.9,35.0,27.1,1.0,-1.0
133,-0.5,37.9,35.0,27.1,1.0,-1.0
134,-0.5,37.9,35.0,27.1,1.0,-1.0
135,-0.2,40.0,41.8,18.2,1.0,-1.0
136,-0.2,40.0,41.8,18.2,1.0,-1.0
137,-0.5,40.0,41.8,18.2,1.0,-1.0
138,-0.5,40.0,41.8,18.2,1.0,-1.0
139,-0.5,71.4,20.4,8.2,1.0,-1.0
140,-0.5,71.4,20.4,8.2,1.0,-1.0
141,-0.9,71.4,20.4,8.2,1.0,-1.0
142,-0.2,41.0,42.0,17.0,1.0,-1.0
143,-0.2,41.0,42.0,17.0,1.0,-1.0
144,-0.5,41.0,42.0,17.0,1.0,-1.0
145,-0.5,41.0,42.0,17.0,1.0,-1.0
146,-0.2,45.3,42.7,12.0,1.0,-1.0
147,-0.2,45.3,42.7,12.0,1.0,-1.0
148,-0.6,45.3,42.7,12.0,1.0,-1.0
149,-0.6,45.3,42.7,12.0,1.0,-1.0
150,-0.2,24.0,54.0,22.0,1.0,-1.0
151,-0.2,24.0,54.0,22.0,1.0,-1.0
152,-0.6,24.0,54.0,22.0,1.0,-1.0
153,-0.6,24.0,54.0,22.0,1.0,-1.0
154,-0.4,11.2,66.8,22.0,1.0,-1.0
155,-0.4,11.2,66.8,22.0,1.0,-1.0
156,-0.8,11.2,66.8,22.0,1.0,-1.0
157,-0.8,11.2,66.8,22.0,1.0,-1.0
158,-0.4,11.2,66.8,13.4,1.0,-1.0
159,-0.4,11.2,66.8,13.4,1.0,-1.0
160,-0.8,11.2,66.8,13.4,1.0,-1.0
161,-0.8,11.2,66.8,13.4,1.0,-1.0
162,-0.1,56.3,30.3,13.4,1.0,-1.0
163,-0.1,56.3,30.3,13.4,1.0,-1.0
164,-0.5,56.3,30.3,13.4,1.0,-1.0
165,-0.5,56.3,30.3,13.4,1.0,-1.0
166,-0.7,67.7,22.3,10.0,1.0,-1.0
167,-0.7,67.7,22.3,10.0,1.0,-1.0
168,-0.7,67.7,22.3,10.0,1.0,-1.0
169,-0.7,67.7,22.3,10.0,1.0,-1.0
