,gus,tgus,Sand %,offset,detected
0,3.82,-0.4,67.7,1.0,-1.0
1,3.82,-0.4,67.7,1.0,-1.0
2,3.82,-0.5,67.7,1.0,-1.0
3,3.82,-0.5,67.7,1.0,-1.0
4,3.82,-0.4,67.7,1.0,-1.0
5,3.82,-0.4,67.7,1.0,-1.0
6,3.82,-0.5,67.7,1.0,-1.0
7,3.82,-0.5,67.7,1.0,-1.0
8,3.82,-0.5,32.1,1.0,-1.0
9,3.82,-0.5,32.1,1.0,-1.0
10,3.82,-0.5,32.1,1.0,-1.0
11,3.82,-0.5,32.1,1.0,-1.0
12,3.82,-0.5,20.7,1.0,-1.0
13,3.82,-0.5,20.7,1.0,-1.0
14,3.82,-0.5,20.7,1.0,-1.0
15,3.82,-0.5,20.7,1.0,-1.0
16,0.94,-0.6,68.5,1.0,-1.0
17,0.94,-0.7,68.5,1.0,-1.0
18,0.94,-0.6,68.5,1.0,-1.0
19,0.94,-0.6,68.5,1.0,-1.0
20,0.94,-0.6,68.5,1.0,-1.0
21,0.94,-0.7,68.5,1.0,-1.0
22,0.94,-0.6,68.5,1.0,-1.0
23,0.94,-0.6,68.5,1.0,-1.0
24,0.94,-0.6,68.5,1.0,-1.0
25,0.94,-0.7,68.5,1.0,-1.0
26,0.94,-0.6,68.5,1.0,-1.0
27,0.94,-0.6,68.5,1.0,-1.0
28,2.57,6.6,37.9,1.0,1.0
29,2.57,6.6,37.9,1.0,1.0
30,2.57,6.6,37.9,1.0,1.0
31,2.57,6.6,37.9,1.0,1.0
32,2.57,6.4,40.0,1.0,-1.0
33,2.57,6.4,40.0,1.0,-1.0
34,2.57,6.4,40.0,1.0,-1.0
35,2.57,6.4,40.0,1.0,-1.0
36,2.57,5.2,71.4,1.0,-1.0
37,2.57,5.2,71.4,1.0,-1.0
38,2.57,5.2,71.4,1.0,-1.0
39,2.57,6.4,41.0,1.0,-1.0
40,2.57,6.4,41.0,1.0,-1.0
41,2.57,6.4,41.0,1.0,-1.0
42,2.57,6.4,41.0,1.0,-1.0
43,2.02,0.5,37.9,1.0,-1.0
44,2.02,0.5,37.9,1.0,-1.0
45,2.02,0.5,37.9,1.0,-1.0
46,2.02,0.5,37.9,1.0,-1.0
47,2.02,0.5,40.0,1.0,-1.0
